date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:54	583/583	---M--	200	added ('OK')	image/gif	etag:%221f61e5e-247-4f7597102c6c0%22	http://www.emeraldsunrooms.com/images/contact/phone_icon.gif	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/contact/phone_icon.gif	(from http://www.emeraldsunrooms.com/styles/contact.css)
23:42:54	1139/1139	---M--	200	added ('OK')	image/gif	etag:%221f61e5c-473-4f7597102c6c0%22	http://www.emeraldsunrooms.com/images/contact/email_icon.gif	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/contact/email_icon.gif	(from http://www.emeraldsunrooms.com/styles/contact.css)
23:42:55	14191/14191	---M--	200	added ('OK')	image/gif	etag:%221f61e5d-376f-4f75971120900%22	http://www.emeraldsunrooms.com/images/contact/home_icon.gif	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/contact/home_icon.gif	(from http://www.emeraldsunrooms.com/styles/contact.css)
23:43:03	227342/227342	---M--	200	added ('OK')	image/jpeg	etag:%221f61e51-3780e-4f75970d50000%22	http://www.emeraldsunrooms.com/images/common/bodyBG.jpg	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/common/bodyBG.jpg	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:43:47	1915849/1915849	---M--	200	added ('OK')	application/javascript	etag:%221f61e2c-1d3bc9-4f759705aee00%22	http://www.emeraldsunrooms.com/scripts/arial_400-arial_700-arial_italic_400-arial_italic_700.font.js	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/scripts/arial_400-arial_700-arial_italic_400-arial_italic_700.font.js	(from http://www.emeraldsunrooms.com/)
23:43:47	8455/8455	---M--	200	added ('OK')	text/css	etag:%221f61e27-2107-4f7596ff01e40%22	http://www.emeraldsunrooms.com/styles/jquery.fancybox-1.3.1.css	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/styles/jquery.fancybox-1.3.1.css	(from http://www.emeraldsunrooms.com/gallery.php)
23:43:48	1157/1157	---M--	200	added ('OK')	application/javascript	etag:%221f61e33-485-4f759702d2740%22	http://www.emeraldsunrooms.com/scripts/jquery.mousewheel-3.0.2.pack.js	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/scripts/jquery.mousewheel-3.0.2.pack.js	(from http://www.emeraldsunrooms.com/gallery.php)
23:43:48	11458/11458	---M--	200	added ('OK')	application/javascript	etag:%221f61e34-2cc2-4f759704babc0%22	http://www.emeraldsunrooms.com/scripts/jquery.pajinate.js	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/scripts/jquery.pajinate.js	(from http://www.emeraldsunrooms.com/gallery.php)
23:43:48	1897/1897	---M--	200	added ('OK')	application/javascript	etag:%221f61e2f-769-4f759701de500%22	http://www.emeraldsunrooms.com/scripts/fancybox.js	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/scripts/fancybox.js	(from http://www.emeraldsunrooms.com/gallery.php)
23:43:51	27018/27018	---M--	200	added ('OK')	application/javascript	etag:%221f61e31-698a-4f759702d2740%22	http://www.emeraldsunrooms.com/scripts/jquery.fancybox-1.3.1.js	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/scripts/jquery.fancybox-1.3.1.js	(from http://www.emeraldsunrooms.com/gallery.php)
23:43:53	25230/25230	---M--	200	added ('OK')	image/jpeg	etag:%221f61ef8-628e-4f759742b7e00%22	http://www.emeraldsunrooms.com/images/gallery/tm/1.jpg	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/gallery/tm/1.jpg	(from http://www.emeraldsunrooms.com/gallery.php)
23:43:56	29195/29195	---M--	200	added ('OK')	image/jpeg	etag:%221f61f05-720b-4f759745944c0%22	http://www.emeraldsunrooms.com/images/gallery/tm/2.jpg	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/gallery/tm/2.jpg	(from http://www.emeraldsunrooms.com/gallery.php)
23:43:57	27846/27846	---M--	200	added ('OK')	image/jpeg	etag:%221f61e9b-6cc6-4f75972433600%22	http://www.emeraldsunrooms.com/images/gallery/3.jpg	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/gallery/3.jpg	(from http://www.emeraldsunrooms.com/gallery.php)
23:44:00	72402/72402	---M--	200	added ('OK')	image/jpeg	etag:%221f61e83-11ad2-4f75971e7a880%22	http://www.emeraldsunrooms.com/images/gallery/1.jpg	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/gallery/1.jpg	(from http://www.emeraldsunrooms.com/gallery.php)
